queue_label,record_id,rule_id,reviewed_artifact_issue,reviewed_effect_audible,duration_drift_ms,logmel_dtw_l1,mfcc_dtw_cosine,voiced_overlap_iou,f0_overlap_mae_cents,f0_overlap_corr,harmonic_share_src,harmonic_share_proc,harmonic_share_delta,mean_log_flatness_src,mean_log_flatness_proc,mean_log_flatness_delta,zcr_src,zcr_proc,zcr_delta,structure_risk_score
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.4806,0.0012,0.9622,7.8090,0.9991,0.1434,0.1459,0.0025,-2.9965,-3.0386,-0.0422,0.0697,0.0680,-0.0017,13.79
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5508,0.0009,0.9663,11.3178,0.9980,0.2088,0.2090,0.0002,-2.8411,-2.8758,-0.0347,0.0763,0.0717,-0.0046,15.73
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,0.0000,0.5373,0.0011,0.8592,8.2787,0.9995,0.4001,0.4110,0.0109,-3.1641,-3.0251,0.1390,0.0780,0.0760,-0.0021,23.38
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.6367,0.0009,0.8618,6.0305,0.9999,0.4770,0.4808,0.0038,-3.2988,-3.2556,0.0432,0.0415,0.0378,-0.0037,21.74
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5743,0.0013,0.9014,6.7578,0.9982,0.4904,0.4894,-0.0010,-3.0667,-2.9556,0.1111,0.0850,0.0827,-0.0023,22.01
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.5094,0.0010,0.9775,7.3913,0.9991,0.5203,0.5053,-0.0151,-2.8490,-2.8062,0.0428,0.0730,0.0680,-0.0050,15.78
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.4862,0.0013,0.9766,9.2267,0.9974,0.7110,0.6723,-0.0387,-3.2808,-3.3093,-0.0285,0.0574,0.0569,-0.0005,13.71
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5127,0.0011,0.9723,6.0152,0.9995,0.6285,0.5618,-0.0667,-3.3139,-3.3704,-0.0565,0.0828,0.0832,0.0004,14.21
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.4805,0.0012,0.9595,7.8592,0.9990,0.1434,0.1461,0.0027,-2.9965,-3.0383,-0.0418,0.0697,0.0679,-0.0018,13.86
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5510,0.0009,0.9663,11.4341,0.9980,0.2088,0.2088,0.0001,-2.8411,-2.8748,-0.0337,0.0763,0.0718,-0.0046,15.75
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,0.0000,0.5374,0.0011,0.8556,8.2305,0.9995,0.4001,0.4112,0.0111,-3.1641,-3.0254,0.1388,0.0780,0.0761,-0.0019,23.45
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.6365,0.0009,0.8618,6.0305,0.9999,0.4770,0.4804,0.0034,-3.2988,-3.2557,0.0431,0.0415,0.0378,-0.0037,21.73
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5741,0.0013,0.9014,6.8750,0.9981,0.4904,0.4895,-0.0009,-3.0667,-2.9554,0.1113,0.0850,0.0827,-0.0023,22.02
v1_fixed8_rank4_s020_d15_fb065_oa050_sf015_sp075_nf020_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.5094,0.0010,0.9751,7.3657,0.9992,0.5203,0.5050,-0.0154,-2.8490,-2.8059,0.0430,0.0730,0.0680,-0.0050,15.85
