queue_label,record_id,rule_id,reviewed_artifact_issue,reviewed_effect_audible,duration_drift_ms,logmel_dtw_l1,mfcc_dtw_cosine,voiced_overlap_iou,f0_overlap_mae_cents,f0_overlap_corr,harmonic_share_src,harmonic_share_proc,harmonic_share_delta,mean_log_flatness_src,mean_log_flatness_proc,mean_log_flatness_delta,zcr_src,zcr_proc,zcr_delta,structure_risk_score
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.4806,0.0012,0.9622,7.8090,0.9991,0.1434,0.1459,0.0025,-2.9965,-3.0386,-0.0422,0.0697,0.0680,-0.0017,13.79
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5508,0.0009,0.9663,11.3178,0.9980,0.2088,0.2090,0.0002,-2.8411,-2.8758,-0.0347,0.0763,0.0717,-0.0046,15.73
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,0.0000,0.5373,0.0011,0.8592,8.2787,0.9995,0.4001,0.4110,0.0109,-3.1641,-3.0251,0.1390,0.0780,0.0760,-0.0021,23.38
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.6367,0.0009,0.8618,6.0305,0.9999,0.4770,0.4808,0.0038,-3.2988,-3.2556,0.0432,0.0415,0.0378,-0.0037,21.74
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5743,0.0013,0.9014,6.7578,0.9982,0.4904,0.4894,-0.0010,-3.0667,-2.9556,0.1111,0.0850,0.0827,-0.0023,22.01
v1_fixed8_rank4_s020_d15_lc020_lt010_w100_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.5094,0.0010,0.9775,7.3913,0.9991,0.5203,0.5053,-0.0151,-2.8490,-2.8062,0.0428,0.0730,0.0680,-0.0050,15.78
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.4857,0.0013,0.9817,10.3457,0.9965,0.7110,0.6682,-0.0428,-3.2808,-3.3084,-0.0276,0.0574,0.0569,-0.0004,13.67
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5132,0.0011,0.9759,6.6920,0.9993,0.6285,0.5561,-0.0724,-3.3139,-3.3675,-0.0536,0.0828,0.0832,0.0004,14.21
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.4816,0.0012,0.9568,8.1073,0.9990,0.1434,0.1457,0.0022,-2.9965,-3.0321,-0.0356,0.0697,0.0677,-0.0020,13.98
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5513,0.0009,0.9412,12.3047,0.9966,0.2088,0.2020,-0.0068,-2.8411,-2.8717,-0.0306,0.0763,0.0719,-0.0045,16.46
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,0.0000,0.5363,0.0011,0.8764,7.5934,0.9997,0.4001,0.4045,0.0044,-3.1641,-3.0224,0.1417,0.0780,0.0761,-0.0019,22.97
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.6364,0.0009,0.8487,6.1240,0.9999,0.4770,0.4761,-0.0009,-3.2988,-3.2532,0.0456,0.0415,0.0377,-0.0039,22.16
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5741,0.0013,0.9081,6.7704,0.9982,0.4904,0.4845,-0.0059,-3.0667,-2.9544,0.1123,0.0850,0.0826,-0.0023,21.89
v1_fixed8_rank4_ds035_fu100_uu050_ea050_w100_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.5098,0.0010,0.9776,7.9337,0.9989,0.5203,0.4985,-0.0219,-2.8490,-2.8046,0.0444,0.0730,0.0685,-0.0045,15.90
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.4857,0.0013,0.9791,9.6000,0.9972,0.7110,0.6697,-0.0413,-3.2808,-3.3079,-0.0271,0.0574,0.0569,-0.0005,13.67
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5127,0.0011,0.9741,6.5019,0.9994,0.6285,0.5571,-0.0713,-3.3139,-3.3684,-0.0544,0.0828,0.0831,0.0003,14.20
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.4811,0.0012,0.9568,7.7119,0.9990,0.1434,0.1451,0.0017,-2.9965,-3.0361,-0.0397,0.0697,0.0681,-0.0016,13.93
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5511,0.0009,0.9377,11.6016,0.9971,0.2088,0.2031,-0.0057,-2.8411,-2.8705,-0.0294,0.0763,0.0720,-0.0044,16.48
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,0.0000,0.5368,0.0011,0.8397,8.0083,0.9996,0.4001,0.4088,0.0087,-3.1641,-3.0241,0.1401,0.0780,0.0760,-0.0020,23.87
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.6368,0.0009,0.8618,6.6412,0.9999,0.4770,0.4786,0.0016,-3.2988,-3.2550,0.0438,0.0415,0.0379,-0.0037,21.82
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5747,0.0013,0.9049,6.8872,0.9981,0.4904,0.4866,-0.0038,-3.0667,-2.9540,0.1127,0.0850,0.0828,-0.0022,22.01
v1_fixed8_rank4_s020_d15_fk040_uk015_ea025_ds020_gf010_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.5094,0.0010,0.9725,7.4807,0.9991,0.5203,0.5008,-0.0195,-2.8490,-2.8031,0.0459,0.0730,0.0681,-0.0049,16.03
