utt_id,dataset_name,split_name,speaker_id,gender,domain,language,path_raw,path_proc,duration_sec,sample_rate,quality_flag,notes,clean_subset_name,clean_rule_version,selection_cell,coarse_style,selection_note,feature_status,feature_error,rms_dbfs,peak_dbfs,clipping_ratio,silence_ratio_40db,zcr_mean,spectral_centroid_hz_mean,f0_voiced_ratio,f0_median_hz,f0_p10_hz,f0_p90_hz
121_127105_000010_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000010_000001.wav,,2.320000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.657510,-0.915503,0.000000,0.000000,0.031922,1382.532588,0.952790,152.884142,137.589586,195.658387
121_127105_000010_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000010_000002.wav,,14.800167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-19.577880,-0.915503,0.000000,0.043228,0.084889,2145.998124,0.727211,156.830402,128.262326,207.782700
121_127105_000011_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000011_000000.wav,,2.600000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-15.382943,-0.915503,0.000000,0.000000,0.069244,1811.953040,0.865900,161.915201,138.960331,236.452058
121_127105_000012_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000012_000000.wav,,5.960000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.778427,-0.915503,0.000000,0.000000,0.075551,1934.119691,0.688442,182.185456,138.462129,251.925539
121_127105_000012_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000012_000001.wav,,4.080000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.020267,-0.915503,0.000000,0.010417,0.087672,2154.180208,0.777506,170.440687,134.994941,203.287201
121_127105_000013_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000013_000000.wav,,3.000000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.399425,-0.915503,0.000000,0.014184,0.091783,2070.361245,0.850498,155.883334,131.451603,212.972815
121_127105_000014_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000014_000000.wav,,6.000000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.603884,-0.915503,0.000000,0.000000,0.079919,2026.965811,0.760399,181.342742,142.570436,244.904806
121_127105_000014_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000014_000001.wav,,4.040000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.251764,-0.915503,0.000000,0.005263,0.062063,1707.356386,0.780247,157.576575,133.496686,173.851285
121_127105_000015_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000015_000000.wav,,3.000000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.270056,-0.915503,0.000000,0.000000,0.094353,2102.690492,0.840532,144.575792,125.748530,182.418612
121_127105_000016_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000016_000000.wav,,6.040000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.718689,-0.915503,0.000000,0.021127,0.053113,1642.019490,0.638017,171.163615,135.293176,244.243133
121_127105_000016_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000016_000001.wav,,2.880000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.270566,-0.915503,0.000000,0.000000,0.065049,1893.433378,0.896194,170.704768,141.625504,238.249460
121_127105_000016_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000016_000002.wav,,8.960000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.418514,-0.915503,0.000000,0.002375,0.069277,1892.013542,0.714604,168.068393,143.006464,228.011416
121_127105_000016_000004,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000016_000004.wav,,3.560000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.713200,-0.915503,0.000000,0.005988,0.054766,1823.852210,0.551821,164.202898,140.952484,217.086782
121_127105_000016_000005,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000016_000005.wav,,13.520167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.878653,-0.915503,0.000000,0.000000,0.065149,1967.869163,0.725795,175.419601,133.087570,257.064651
121_127105_000016_000006,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000016_000006.wav,,8.400000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.887264,-0.915503,0.000000,0.020305,0.065955,1852.040341,0.680143,160.052323,136.735381,210.044235
121_127105_000016_000008,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000016_000008.wav,,9.640000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-20.688338,-0.915503,0.000000,0.013274,0.067728,1848.824783,0.704663,168.068105,132.681567,232.581750
121_127105_000018_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000018_000001.wav,,5.880000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-21.713268,-0.915503,0.000000,0.000000,0.035777,1492.987973,0.470289,151.117484,131.863243,186.925201
121_127105_000020_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000020_000002.wav,,2.040000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-14.398561,-0.915503,0.000000,0.000000,0.067500,2181.193858,0.829268,186.134496,147.309240,215.801774
121_127105_000020_000004,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000020_000004.wav,,5.120000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.473752,-0.915503,0.000000,0.012448,0.076699,1933.333266,0.783626,176.475562,138.022864,261.400711
121_127105_000020_000005,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000020_000005.wav,,12.960167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.056167,-0.127100,0.000000,0.003289,0.068980,1898.255518,0.791056,162.399194,125.278758,212.524444
121_127105_000020_000006,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000020_000006.wav,,3.160000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.148674,-0.915503,0.000000,0.000000,0.055333,1639.694117,0.914826,158.931260,138.749711,191.175844
121_127105_000020_000009,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000020_000009.wav,,5.960000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-19.823218,-0.915503,0.000000,0.000000,0.076236,1982.954106,0.750419,151.219423,127.599701,188.681129
121_127105_000022_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000022_000001.wav,,3.880000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.545532,-0.915503,0.000000,0.000000,0.029198,1306.477053,0.681234,148.757970,130.679319,231.648147
121_127105_000024_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000024_000002.wav,,4.680000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.933722,-0.915503,0.000000,0.000000,0.070410,1774.343228,0.592751,155.642686,126.869561,174.720916
121_127105_000024_000006,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000024_000006.wav,,2.400000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.301841,-0.915503,0.000000,0.000000,0.055193,1974.459296,0.825726,149.355513,136.228199,185.727787
121_127105_000025_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000025_000000.wav,,3.480000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-15.862180,-0.915503,0.000000,0.000000,0.042870,1630.583236,0.836676,166.215465,149.636793,198.741677
121_127105_000030_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000030_000001.wav,,3.040000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.674372,-0.915503,0.000000,0.000000,0.095420,2292.131103,0.862295,171.488240,138.101877,243.368269
121_127105_000030_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000030_000002.wav,,2.040000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.255300,-0.915503,0.000000,0.010417,0.107900,2326.479758,0.814634,162.773721,135.145901,370.521249
121_127105_000032_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000032_000000.wav,,2.080000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.054562,-0.915503,0.000000,0.000000,0.095120,2064.756657,0.779904,160.763115,129.736166,253.576395
121_127105_000033_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000033_000000.wav,,5.040000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-19.265044,-0.915503,0.000000,0.000000,0.069511,1777.878153,0.782178,160.817748,128.699746,201.013736
121_127105_000035_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000035_000000.wav,,3.120000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.313450,-0.915503,0.000000,0.006803,0.081653,2122.855376,0.897764,188.869444,143.667834,256.363457
121_127105_000036_000003,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000036_000003.wav,,5.680000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.063755,-0.915503,0.000000,0.000000,0.066549,1803.848283,0.822496,156.125490,128.894634,213.607137
121_127105_000036_000004,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000036_000004.wav,,4.680000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.160174,-0.915503,0.000000,0.000000,0.062338,1606.608417,0.592751,170.964946,120.501163,264.347699
121_127105_000037_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000037_000000.wav,,3.040000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.546233,-0.915503,0.000000,0.000000,0.083629,2053.563554,0.750820,176.499751,127.507732,251.232308
121_127105_000038_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000038_000001.wav,,2.600000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.698880,-0.915503,0.000000,0.000000,0.145160,3037.009791,0.770115,187.750142,146.410776,267.288372
121_127105_000039_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000039_000000.wav,,2.440000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.503997,-0.915503,0.000000,0.008696,0.068567,2031.281098,0.832653,184.650309,144.253564,249.247833
121_127105_000041_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000041_000000.wav,,9.400000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.017491,-0.915503,0.000000,0.009070,0.059775,1837.106187,0.854410,173.468390,142.467856,241.250588
121_127105_000041_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000041_000001.wav,,11.960167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-19.013852,-0.915503,0.000000,0.000000,0.077311,1890.830945,0.793651,164.078849,131.457053,220.451416
121_127105_000042_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000042_000001.wav,,6.760000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.587056,-0.915503,0.000000,0.000000,0.063415,1912.538896,0.831610,154.669243,128.761996,242.268867
121_127105_000042_000003,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000042_000003.wav,,18.280167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.326796,-0.915503,0.000000,0.000000,0.071187,1979.322537,0.805905,168.318624,135.698093,223.986411
121_127105_000042_000004,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000042_000004.wav,,14.040167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.617366,-0.915503,0.000000,0.000000,0.080026,2106.899342,0.760142,156.956210,129.347674,206.824108
121_127105_000042_000005,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000042_000005.wav,,15.440167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.565237,-0.915503,0.000000,0.001381,0.080635,2090.988374,0.809709,163.207089,130.648195,216.468470
121_127105_000042_000006,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000042_000006.wav,,7.920000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.618408,-0.915503,0.000000,0.000000,0.045791,1578.417441,0.703657,156.300071,139.048619,208.248571
