subset_name,group_axis,group_value,gender,f0_bin,num_rows,f0_bin_upper_q1_hz,f0_bin_upper_q2_hz,f0_bin_upper_q3_hz,mean_f0_median_hz,mean_spectral_centroid_hz,mean_log_centroid_minus_log_f0
clean_singing,coarse_style,fast_piano,male,q1_low,94,180.089018,319.219119,373.809522,156.356118,3056.002194,1.281981
clean_singing,coarse_style,fast_piano,male,q2_midlow,55,180.089018,319.219119,373.809522,214.181378,2914.654141,1.127602
clean_singing,coarse_style,fast_piano,male,q3_midhigh,6,180.089018,319.219119,373.809522,333.662015,2545.669529,0.876825
clean_singing,coarse_style,fast_piano,male,q4_high,5,180.089018,319.219119,373.809522,403.870714,3754.473568,0.967494
clean_singing,coarse_style,forte,female,q4_high,45,180.089018,319.219119,373.809522,521.134957,3783.385079,0.847802
clean_singing,coarse_style,forte,male,q2_midlow,41,180.089018,319.219119,373.809522,258.858051,3234.715518,1.087661
clean_singing,coarse_style,forte,male,q3_midhigh,4,180.089018,319.219119,373.809522,346.544659,2091.531335,0.776925
clean_singing,coarse_style,pp,female,q4_high,45,180.089018,319.219119,373.809522,530.331805,3769.165985,0.836011
clean_singing,coarse_style,pp,male,q2_midlow,41,180.089018,319.219119,373.809522,261.544378,2984.973114,1.049392
clean_singing,coarse_style,pp,male,q3_midhigh,4,180.089018,319.219119,373.809522,350.448319,2020.570576,0.757323
clean_singing,coarse_style,slow_forte,female,q2_midlow,3,180.089018,319.219119,373.809522,288.701913,4938.969489,1.233318
clean_singing,coarse_style,slow_forte,female,q3_midhigh,77,180.089018,319.219119,373.809522,348.424571,3327.789312,0.971779
clean_singing,coarse_style,slow_forte,female,q4_high,95,180.089018,319.219119,373.809522,455.159042,3300.604245,0.852645
clean_singing,coarse_style,slow_forte,male,q1_low,77,180.089018,319.219119,373.809522,162.352651,2722.265659,1.222773
clean_singing,coarse_style,slow_forte,male,q2_midlow,85,180.089018,319.219119,373.809522,219.998113,2693.102743,1.083686
clean_singing,coarse_style,slow_forte,male,q3_midhigh,8,180.089018,319.219119,373.809522,340.690309,2175.052521,0.802073
clean_singing,coarse_style,slow_forte,male,q4_high,5,180.089018,319.219119,373.809522,437.850638,2198.830294,0.696350
clean_singing,coarse_style,slow_piano,female,q2_midlow,1,180.089018,319.219119,373.809522,275.816934,4906.724027,1.250171
clean_singing,coarse_style,slow_piano,female,q3_midhigh,75,180.089018,319.219119,373.809522,348.226128,3210.387902,0.954680
clean_singing,coarse_style,slow_piano,female,q4_high,100,180.089018,319.219119,373.809522,455.956375,2977.447324,0.808115
clean_singing,coarse_style,slow_piano,male,q1_low,80,180.089018,319.219119,373.809522,165.472653,2579.138648,1.188460
clean_singing,coarse_style,slow_piano,male,q2_midlow,84,180.089018,319.219119,373.809522,222.528574,2490.083482,1.044545
clean_singing,coarse_style,slow_piano,male,q3_midhigh,7,180.089018,319.219119,373.809522,335.334319,2425.243649,0.858298
clean_singing,coarse_style,slow_piano,male,q4_high,5,180.089018,319.219119,373.809522,438.460797,2149.769941,0.689426
clean_singing,coarse_style,straight,female,q3_midhigh,90,180.089018,319.219119,373.809522,342.662084,3158.333621,0.956493
clean_singing,coarse_style,straight,female,q4_high,60,180.089018,319.219119,373.809522,501.152255,3760.758970,0.855234
clean_singing,coarse_style,straight,male,q1_low,83,180.089018,319.219119,373.809522,168.776734,2617.345257,1.185120
clean_singing,coarse_style,straight,male,q2_midlow,54,180.089018,319.219119,373.809522,247.193587,3148.746296,1.094408
clean_singing,coarse_style,straight,male,q3_midhigh,11,180.089018,319.219119,373.809522,337.857125,2060.379784,0.780299
clean_singing,coarse_style,straight,male,q4_high,2,180.089018,319.219119,373.809522,381.588947,1923.182112,0.693714
clean_singing,coarse_style,vibrato,female,q2_midlow,6,180.089018,319.219119,373.809522,311.919888,3683.034834,1.067673
clean_singing,coarse_style,vibrato,female,q3_midhigh,85,180.089018,319.219119,373.809522,346.078117,3148.587563,0.953402
clean_singing,coarse_style,vibrato,female,q4_high,11,180.089018,319.219119,373.809522,394.537428,2875.919748,0.859388
clean_singing,coarse_style,vibrato,male,q1_low,78,180.089018,319.219119,373.809522,168.580971,2647.523362,1.190382
clean_singing,coarse_style,vibrato,male,q2_midlow,15,180.089018,319.219119,373.809522,184.496524,2435.135941,1.112951
clean_singing,coarse_style,vibrato,male,q3_midhigh,7,180.089018,319.219119,373.809522,336.016362,2082.766307,0.789175
clean_singing,coarse_style,vibrato,male,q4_high,2,180.089018,319.219119,373.809522,377.319557,2087.494488,0.740237
