rule_id,band_index,band_low_hz,band_high_hz,normalized_weight,gain_db_default,gain_db_max,action_family,target_direction,group_value,f0_condition
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.4200,0.5950,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.9600,1.3600,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,1.2000,1.7000,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.6600,0.9350,brightness_up,feminine,fast_forte,high_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.3600,-0.5600,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.6300,-0.9800,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.9000,-1.4000,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.4050,-0.6300,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0900,-0.1400,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,straight,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.3600,-0.5600,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.6300,-0.9800,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.9000,-1.4000,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.4050,-0.6300,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0900,-0.1400,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,vibrato,low_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.3150,0.4900,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.7200,1.1200,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.9000,1.4000,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.4950,0.7700,brightness_up,feminine,fast_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.3150,0.4900,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.7200,1.1200,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.9000,1.4000,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.4950,0.7700,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.2400,-0.3600,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.4200,-0.6300,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.6000,-0.9000,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.2700,-0.4050,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0600,-0.0900,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.2400,-0.3600,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.4200,-0.6300,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.6000,-0.9000,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.2700,-0.4050,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0600,-0.0900,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,slow_piano,low_band
